session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
0,0,2,0.7,0.1,0.05,4e-06,0,5.878761184245843e-06,1.1999698041802753,1,0.6153846153846154
1,1,2,0.7,0.1,0.15,4e-06,0,5.87876118409868e-06,1.1999698041802727,1,0.6153846153846154
2,2,2,0.7,0.1,0.25,4e-06,0,5.87876118777775e-06,1.199969804180276,1,0.6410256410256411
3,3,2,0.7,0.25,0.05,4e-06,0,0.0,1.4729266208268674,1,0.5384615384615384
4,4,2,0.7,0.25,0.15,4e-06,0,0.0,1.472926620826772,1,0.5897435897435898
5,5,2,0.7,0.25,0.25,4e-06,1,0.2534122768114596,1.5033377693087884,0,0.46153846153846156
6,6,2,0.7,0.5,0.05,4e-06,0,8.74738480784549e-06,1.7994726558972858,1,0.5128205128205128
7,7,2,0.7,0.5,0.15,4e-06,0,8.747384647215324e-06,1.7994726558972838,1,0.5384615384615384
8,8,2,0.7,0.5,0.25,4e-06,0,8.747384673568709e-06,1.7994726558974035,1,0.48717948717948717
9,9,2,0.85,0.1,0.05,4e-06,1,0.28352382860898767,1.316411130453565,0,0.6666666666666666
10,10,2,0.85,0.1,0.15,4e-06,1,0.2698069992694623,1.446277922991602,0,0.6410256410256411
11,11,2,0.85,0.1,0.25,4e-06,1,0.25215523379554045,1.2298332687615403,0,0.48717948717948717
12,12,2,0.85,0.25,0.05,4e-06,0,0.0,1.4729266208268141,1,0.46153846153846156
13,13,2,0.85,0.25,0.15,4e-06,0,0.0,1.4729266208270109,1,0.5384615384615384
14,14,2,0.85,0.25,0.25,4e-06,1,0.2621876760465611,1.5685433239478908,0,0.5384615384615384
15,15,2,0.85,0.5,0.05,4e-06,0,8.747384673568709e-06,1.7994726558974035,1,0.4358974358974359
16,16,2,0.85,0.5,0.15,4e-06,0,8.747384673568709e-06,1.7994726558974035,1,0.46153846153846156
17,17,2,0.85,0.5,0.25,4e-06,0,8.747384676078556e-06,1.7994726558972929,1,0.5128205128205128
18,18,2,0.95,0.1,0.05,4e-06,1,0.3017523851447111,1.4895668538376143,0,0.8717948717948718
19,19,2,0.95,0.1,0.15,4e-06,0,5.878761186355176e-06,1.199969804180272,1,0.5897435897435898
20,20,2,0.95,0.1,0.25,4e-06,0,5.878761187924913e-06,1.1999698041802764,1,0.717948717948718
21,21,2,0.95,0.25,0.05,4e-06,1,0.25607576912150576,1.5685433239478908,0,0.5384615384615384
22,22,2,0.95,0.25,0.15,4e-06,0,0.0,1.4729266208270708,1,0.5897435897435898
23,23,2,0.95,0.25,0.25,4e-06,1,0.3005682339625321,1.5033377693087884,0,0.41025641025641024
24,24,2,0.95,0.5,0.05,4e-06,1,0.3245778274752511,2.081632285199716,1,0.3333333333333333
25,25,2,0.95,0.5,0.15,4e-06,1,0.23455267272209804,1.905250121828721,1,0.38461538461538464
26,26,2,0.95,0.5,0.25,4e-06,0,8.7473846459604e-06,1.7994726558974024,1,0.38461538461538464
27,0,3,0.7,0.1,0.05,4e-06,0,3.451172632436747e-06,1.149997163644805,1,0.6153846153846154
28,1,3,0.7,0.1,0.15,4e-06,1,0.10547988097173014,1.398954989634155,0,0.5897435897435898
29,2,3,0.7,0.1,0.25,4e-06,0,3.451172632851982e-06,1.1499971636448088,1,0.6410256410256411
30,3,3,0.7,0.25,0.05,4e-06,0,7.231755474803317e-07,1.3701630302731445,1,0.5384615384615384
31,4,3,0.7,0.25,0.15,4e-06,1,0.18057918215409705,1.5744363674301984,0,0.5641025641025641
32,5,3,0.7,0.25,0.25,4e-06,1,0.1678398875557914,1.4084689284960226,0,0.46153846153846156
33,6,3,0.7,0.5,0.05,4e-06,1,0.3714040742561871,1.731860191606204,1,0.48717948717948717
34,7,3,0.7,0.5,0.15,4e-06,1,0.31282934669618623,1.7860172045559752,1,0.5128205128205128
35,8,3,0.7,0.5,0.25,4e-06,0,0.0,1.696465997833652,1,0.48717948717948717
36,9,3,0.85,0.1,0.05,4e-06,1,0.22538374790591756,1.272060416700591,0,0.6666666666666666
37,10,3,0.85,0.1,0.15,4e-06,1,0.13956530585500065,1.1768894870004178,0,0.6410256410256411
38,11,3,0.85,0.1,0.25,4e-06,1,0.11621472974157322,1.4941259193343281,0,0.48717948717948717
39,12,3,0.85,0.25,0.05,4e-06,1,0.2448225293527078,1.4084689284960223,0,0.4358974358974359
40,13,3,0.85,0.25,0.15,4e-06,1,0.23073426614810033,1.5191138877854733,0,0.5128205128205128
41,14,3,0.85,0.25,0.25,4e-06,1,0.1696135092794061,1.3531464488512972,0,0.5384615384615384
42,15,3,0.85,0.5,0.05,4e-06,0,0.0,1.6964659978336218,1,0.4358974358974359
43,16,3,0.85,0.5,0.15,4e-06,1,0.35880323014979987,1.8943312304555182,1,0.4358974358974359
44,17,3,0.85,0.5,0.25,4e-06,1,0.2693193074467957,1.6506246721815467,1,0.48717948717948717
45,18,3,0.95,0.1,0.05,4e-06,1,0.23106430227943997,1.3037840599339818,0,0.8717948717948718
46,19,3,0.95,0.1,0.15,4e-06,1,0.20109641933863104,1.5892968490345014,0,0.5641025641025641
47,20,3,0.95,0.1,0.25,4e-06,1,0.15775526478894397,1.398954989634155,0,0.6923076923076923
48,21,3,0.95,0.25,0.05,4e-06,0,7.23175539998311e-07,1.3701630302731473,1,0.5641025641025641
49,22,3,0.95,0.25,0.15,4e-06,1,0.24426551948050343,1.5191138877854733,0,0.5641025641025641
50,23,3,0.95,0.25,0.25,4e-06,1,0.21406592950487222,1.4914526479631105,0,0.41025641025641024
51,24,3,0.95,0.5,0.05,4e-06,0,0.0,1.6964659978336643,1,0.358974358974359
52,25,3,0.95,0.5,0.15,4e-06,0,0.0,1.6964659978337007,1,0.41025641025641024
53,26,3,0.95,0.5,0.25,4e-06,0,0.0,1.6964659978336287,1,0.38461538461538464
54,0,2,0.7,0.1,0.05,4e-06,1,0.23806450575513363,1.446277922991602,0,0.5897435897435898
55,1,2,0.7,0.1,0.15,4e-06,1,0.220579265498688,1.3164111304535653,0,0.5897435897435898
56,2,2,0.7,0.1,0.25,4e-06,1,0.2293700849794747,1.4029889921455898,0,0.6153846153846154
57,3,2,0.7,0.25,0.05,4e-06,0,0.0,1.4729266208270102,1,0.5384615384615384
58,4,2,0.7,0.25,0.15,4e-06,0,0.0,1.472926620826945,1,0.5897435897435898
59,5,2,0.7,0.25,0.25,4e-06,0,0.0,1.4729266208268448,1,0.48717948717948717
60,6,2,0.7,0.5,0.05,4e-06,1,0.2747492184823449,1.8170590401432232,1,0.48717948717948717
61,7,2,0.7,0.5,0.15,4e-06,0,8.747384676078556e-06,1.7994726558972376,1,0.5384615384615384
62,8,2,0.7,0.5,0.25,4e-06,0,8.74738464219563e-06,1.799472655897286,1,0.48717948717948717
63,9,2,0.85,0.1,0.05,4e-06,0,5.878761183951517e-06,1.1999698041802676,1,0.6923076923076923
64,10,2,0.85,0.1,0.15,4e-06,1,0.25429303298583084,1.4895668538376143,0,0.6410256410256411
65,11,2,0.85,0.1,0.25,4e-06,1,0.2451664325644297,1.2298332687615403,0,0.48717948717948717
66,12,2,0.85,0.25,0.05,4e-06,0,0.0,1.472926620826835,1,0.46153846153846156
67,13,2,0.85,0.25,0.15,4e-06,0,0.0,1.4729266208269696,1,0.5384615384615384
68,14,2,0.85,0.25,0.25,4e-06,1,0.25145656118410376,1.633748878586993,0,0.5384615384615384
69,15,2,0.85,0.5,0.05,4e-06,0,8.747384943377192e-06,1.7994726558973797,1,0.4358974358974359
70,16,2,0.85,0.5,0.15,4e-06,0,8.747384676078556e-06,1.7994726558973166,1,0.46153846153846156
