session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
0,0,2,0.7,0.1,0.15,4e-06,0,5.878761184245843e-06,1.1999698041802753,1,0.6
1,1,2,0.7,0.25,0.15,4e-06,0,0.0,1.472926620827064,1,0.6
2,2,2,0.7,0.5,0.15,4e-06,0,8.747384810355336e-06,1.7994726558973477,1,0.0
3,3,2,0.95,0.1,0.15,4e-06,0,5.878761187924913e-06,1.1999698041802764,1,0.6
4,4,2,0.95,0.25,0.15,4e-06,0,0.0,1.4729266208268261,1,0.6
5,5,2,0.95,0.5,0.15,4e-06,1,0.41830611923329264,1.9934412035142186,1,0.4
6,0,3,0.7,0.1,0.15,4e-06,1,0.2022665056959937,1.4624022761009374,0,0.4
7,1,3,0.7,0.25,0.15,4e-06,0,7.231755491905078e-07,1.3701630302732202,1,0.6
8,2,3,0.7,0.5,0.15,4e-06,0,0.0,1.696465997833694,1,0.0
9,3,3,0.95,0.1,0.15,4e-06,1,0.19891034038414424,1.8430859949016298,0,0.4
10,4,3,0.95,0.25,0.15,4e-06,1,0.3163977002154061,1.5744363674301984,0,0.4
11,5,3,0.95,0.5,0.15,4e-06,1,0.43760829179209576,2.083880775779718,1,0.4
12,0,2,0.7,0.1,0.15,4e-06,0,5.878761183951517e-06,1.1999698041802755,1,0.6
13,1,2,0.7,0.25,0.15,4e-06,0,0.0,1.4729266208267302,1,0.6
14,2,2,0.7,0.5,0.15,4e-06,0,8.747384673568709e-06,1.7994726558973244,1,0.0
15,3,2,0.95,0.1,0.15,4e-06,0,5.8787611876305875e-06,1.1999698041802822,1,0.6
16,4,2,0.95,0.25,0.15,4e-06,0,0.0,1.4729266208269158,1,0.6
17,5,2,0.95,0.5,0.15,4e-06,0,8.747384676078556e-06,1.7994726558972929,1,0.6
18,0,3,0.7,0.1,0.15,4e-06,1,0.21001149269862218,1.6210204922678926,0,0.4
19,1,3,0.7,0.25,0.15,4e-06,1,0.3132086320792582,1.5467751276078356,0,0.4
20,2,3,0.7,0.5,0.15,4e-06,0,0.0,1.6964659978337313,1,0.0
21,3,3,0.95,0.1,0.15,4e-06,1,0.20145675959345996,1.7161914219680654,0,0.4
22,4,3,0.95,0.25,0.15,4e-06,1,0.3110611481079561,1.7127425665420117,0,0.4
23,5,3,0.95,0.5,0.15,4e-06,1,0.43822082297562603,1.7589386980810895,1,0.4
24,0,2,0.7,0.1,0.15,4e-06,1,0.3325612151934743,1.6194336463756513,0,0.4
25,1,2,0.7,0.25,0.15,4e-06,1,0.37821904244401855,1.5685433239478908,0,0.4
26,2,2,0.7,0.5,0.15,4e-06,0,8.747384647215324e-06,1.7994726558973706,1,0.0
27,3,2,0.95,0.1,0.15,4e-06,0,5.878761186355176e-06,1.1999698041802727,1,0.6
28,4,2,0.95,0.25,0.15,4e-06,0,0.0,1.4729266208269327,1,0.6
29,5,2,0.95,0.5,0.15,4e-06,0,8.747384673568709e-06,1.7994726558973244,1,0.6
30,0,3,0.7,0.1,0.15,4e-06,0,3.4511726313826887e-06,1.1499971636448152,1,0.6
31,1,3,0.7,0.25,0.15,4e-06,1,0.3206002447861913,1.4914526479631105,0,0.4
32,2,3,0.7,0.5,0.15,4e-06,0,0.0,1.6964659978336687,1,0.0
33,3,3,0.95,0.1,0.15,4e-06,1,0.19685087020111786,1.8430859949016298,0,0.4
34,4,3,0.95,0.25,0.15,4e-06,1,0.32338575702019456,1.5744363674301987,0,0.4
35,5,3,0.95,0.5,0.15,4e-06,0,0.0,1.6964659978336964,1,0.6
