session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
0,0,2,0.7146177625745631,0.11238197834787966,0.06292463009023648,4e-06,0,2.364726146603535e-06,1.2246519758687096,1,0.717948717948718
1,1,2,0.6795102908371384,0.07558681815256367,0.16847938267726487,4e-06,1,0.2358013977477607,1.5126816316648206,0,0.48717948717948717
2,2,2,0.6954421016938049,0.07479530569112416,0.2252655635292628,4e-06,1,0.24148959366565267,1.1883424258004496,0,0.717948717948718
3,3,2,0.7217261707322078,0.23003470878133916,0.0569648396920016,4e-06,1,0.28272053411129533,1.5754618760669699,0,0.6923076923076923
4,4,2,0.7087475438691605,0.2761428633384457,0.15670786646324047,4e-06,0,0.0,1.5119981709638715,1,0.2564102564102564
5,5,2,0.7115647759475994,0.2689386467751562,0.20628532540433,4e-06,0,0.0,1.5014534881509791,1,0.41025641025641024
6,6,2,0.6811850938282882,0.48083366455269977,0.04174573246319949,4e-06,1,0.25087984000302765,1.8232174816525937,1,0.48717948717948717
7,7,2,0.7387311341836592,0.44951390685152587,0.13995344910042676,4e-06,0,0.0,1.737981573065347,1,0.6153846153846154
8,8,2,0.7234488932543711,0.5213367973937857,0.2738004170559978,4e-06,1,0.26581124432782205,1.7546946789555982,1,0.5128205128205128
9,9,2,0.8843190352502861,0.09426087025355157,0.011729410299862346,4e-06,1,0.39813984139907793,1.7473926144052507,0,0.38461538461538464
10,10,2,0.8132219085599355,0.11491482232161293,0.15427277208211695,4e-06,0,2.5096561912009436e-06,1.2296901433700549,1,0.6410256410256411
11,11,2,0.8563415876430686,0.1187677118190201,0.24071960380839286,4e-06,0,2.154036158523827e-06,1.237343677547845,1,0.717948717948718
12,12,2,0.8235229623573339,0.23910838460304784,0.03854786318005013,4e-06,0,6.617033009665569e-06,1.4559380173838883,1,0.5128205128205128
13,13,2,0.831223906391891,0.2503748235618306,0.16442239976717726,4e-06,0,0.0,1.4735033898113112,1,0.8717948717948718
14,14,2,0.8766154043589114,0.2470454354647173,0.23730105063867538,4e-06,0,0.0,1.4683620457053495,1,0.5641025641025641
15,15,2,0.7921155011030765,0.46031901162936795,0.020082595171955552,4e-06,0,0.0,1.7512052093081047,1,0.358974358974359
16,16,2,0.8137808377855975,0.48865512337881833,0.18897684893358196,4e-06,0,0.0,1.7857102033421106,1,0.5128205128205128
17,17,2,0.8126552927996049,0.4938368732639711,0.22149933835268257,4e-06,0,1.0200440386282333e-05,1.7920019843751938,1,0.1794871794871795
18,18,2,0.9836123254982958,0.05,0.06303270930637572,4e-06,1,0.3826390730552251,1.5960324933597716,0,0.6666666666666666
19,19,2,0.8921576858244618,0.10216388523141609,0.13411521872808593,4e-06,1,0.27086665059339404,1.4056640113633274,0,0.5641025641025641
20,20,2,0.9508740858209377,0.14805336673962746,0.24281933117580928,4e-06,1,0.26779960132871167,1.8523525703943222,0,0.46153846153846156
21,21,2,0.9587998673588706,0.29077562725721307,0.07505333737743736,4e-06,1,0.2611895913847445,1.5269270534261676,0,0.4358974358974359
22,22,2,0.99,0.21433710837031447,0.13080745401750757,4e-06,0,2.792604176898421e-06,1.415514414854984,1,0.6410256410256411
23,23,2,0.8949325540977476,0.2690545284044321,0.2433333190870368,4e-06,0,0.0,1.5016243664616606,1,0.38461538461538464
24,24,2,0.9093768367516983,0.5094054154235058,0.07514379703683144,4e-06,0,6.695674352988618e-06,1.8108591279980906,1,0.38461538461538464
25,25,2,0.9665763773310398,0.4703138563990441,0.08603861157806073,4e-06,0,0.0,1.7634021364120671,1,0.358974358974359
26,26,2,0.9174823561875869,0.48753928219460946,0.23163709602820576,4e-06,1,0.2671784972339612,1.8901414062740212,1,0.5897435897435898
27,0,3,0.7062819426978137,0.09524095488883935,0.018930387415225656,4e-06,1,0.2300908550272566,1.6178814687337393,0,0.6923076923076923
28,1,3,0.6805476836370667,0.09838652347545039,0.20303789740739647,4e-06,0,3.69589013273373e-06,1.1475779613235544,1,0.5128205128205128
29,2,3,0.6800281760584339,0.06445168700748927,0.22104649713302885,4e-06,1,0.09565056858775921,1.332873429392316,0,0.717948717948718
30,3,3,0.7851387892974065,0.22535839962326842,0.07515467611209035,4e-06,1,0.25674513000346794,1.4033964030174542,0,0.6923076923076923
31,4,3,0.7153980386442345,0.24530086307025728,0.14877712421593697,4e-06,0,5.971221280819459e-07,1.3635369722937511,1,0.2564102564102564
